Pure Tag,Edited Version (if appl.) –,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,EO
Dirty South,Dirty South,Hip Hop,,,,,,,,,,,,97
Disco,Disco,Dance,,,,,,,,,,,,98
Disco Rap,D–sco Rap,Hip Hop,,,,,,,,,,,,99
Dixieland,Dixieland,Jazz,,,,,,,,,,,,100
Doo-Wop,Doo-Wop,R&B,,,,,,,,,,,,101
Doom Metal,Doom Metal,Metal,Rock,,,,,,,,,,,102
Downtempo,Downtempo,Electronic,,,,,,,,,,,,103
Drone,Drone,Experimental,,,,,,,,,,,,104
Drone Metal,Dr0ne Metal,Metal,Rock,,,,,,,,,,,105
Drum and Bass,Drum and Bass,EDM,Dance,Electronic,,,,,,,,,,106
Dubstep,Dubstep,EDM,Dance,Electronic,,,,,,,,,,107
East Asian Music,East Asian Music,Regional Music,,,,,,,,,,,,108
East Coast Hip Hop,East Coast Hip Hop,Hip Hop,,,,,,,,,,,,109
ECM Style Jazz,ECM Style Jazz,Jazz,,,,,,,,,,,,110
Electric Blues,Electric Blues,Blues,,,,,,,,,,,,111
Electro,Electr0,EDM,Dance,Electronic,,,,,,,,,,112
Electroclash,Electroclash,EDM,Dance,Electronic,,,,,,,,,,113
Emo,Emo,Punk,,,,,,,,,,,,114
Emo Rap,Em0 Rap,Hip Hop,,,,,,,,,,,,115
Ethereal Wave,Ethereal Wave,Darkwave,,,,,,,,,,,,116
Europop,Europop,Pop,,,,,,,,,,,,117
Experimental Hip Hop,Exp–rimental Hip Hop,Hip Hop,,,,,,,,,,,,118
Experimental Rock,Exp–rimental Rock,Rock,,,,,,,,,,,,119
Folk Metal,F0lk Metal,Metal,Rock,,,,,,,,,,,120
Folk Rock,F0lk Rock,Rock,,,,,,,,,,,,121
Folktronica,F0lktronica,Electronic,,,,,,,,,,,,122
Free Improvisation,Free Improvisation,Experimental,,,,,,,,,,,,123
French Pop,French Pop,Pop,,,,,,,,,,,,124
Acid Jazz,Acid Jazz,Funk,R&B,,,,,,,,,,,125
Funk Rock,F–nk Rock,Rock,,,,,,,,,,,,126
Funktronica,F–nktronica,EDM,Dance,Electronic,,,,,,,,,,127
Future Bass,Future Bass,EDM,Dance,Electronic,,,,,,,,,,128
G-Funk,G-F–nk,Hip Hop,,,,,,,,,,,,129
Garage Rock,Garage Rock,Rock,,,,,,,,,,,,130
Girl Group,Girl Group,Pop,,,,,,,,,,,,131
Glam Rock,Glam Rock,Rock,,,,,,,,,,,,132
Glitch Hop,Glitch Hop,Electronic,,,,,,,,,,,,133
Greek Music,Greek Music,Regional Music,European Music,,,,,,,,,,,134
Grime,Grime,EDM,Dance,Electronic,,,,,,,,,,135
Groove Metal,Groove Metal,Metal,Rock,,,,,,,,,,,136
Hard Rock,Hard Rock,Rock,,,,,,,,,,,,137
Hardcore [EDM],Hardcore [EDM],EDM,Dance,Electronic,,,,,,,,,,138
Hardcore [Punk],Hardcore [Punk],Punk,Rock,,,,,,,,,,,139
Hardcore Hip Hop,Hardcore Hip Hop,Hip Hop,,,,,,,,,,,,140
Heartland Rock,Heartland Rock,Rock,,,,,,,,,,,,141
Heavy Metal,Heavy Metal,Metal,Rock,,,,,,,,,,,142
HexD,HexD,Electronic,,,,,,,,,,,,143
Hispanic Music,Hispanic Music,Regional Music,,,,,,,,,,,,144
Holiday Music,Holiday Music,Descriptor Genres,,,,,,,,,,,,145
Honky Tonk,Honky Tonk,Country,Northern American Music,Regional Music,,,,,,,,,,146
House,House,EDM,Dance,Electronic,,,,,,,,,,147
Hyphy,Hyphy,Hip Hop,,,,,,,,,,,,148
IDM,IDM,Electronic,,,,,,,,,,,,149
Illbient,Illbient,Electronic,,,,,,,,,,,,150
Indie Pop,Indie Pop,Pop,,,,,,,,,,,,151
Indietronica,Indietronica,Electronic,,,,,,,,,,,,152
Instrumental Hip Hop,Instrumental Hip Hop,Hip Hop,,,,,,,,,,,,153
J-Pop,J-Pop,Pop,,,,,,,,,,,,154
Japanese Hip Hop,Japanese Hip Hop,Hip Hop,,,,,,,,,,,,155
Jazz Fusion,Jazz Fusion,Jazz,,,,,,,,,,,,156
Jazz Pop,J–zz Pop,Pop,,,,,,,,,,,,157
Jazz Rap,J–zz Rap,Hip Hop,,,,,,,,,,,,158
Jazz-Rock,J–zz-Rock,Rock,,,,,,,,,,,,159
K-Pop,K-Pop,Pop,,,,,,,,,,,,160
Latin Rap,Latin Rap,Hip Hop,,,,,,,,,,,,161
Math Rock,Math Rock,Rock,,,,,,,,,,,,162
Miami Bass,Miami Bass,Hip Hop,Dance,,,,,,,,,,,163
Minimal Wave,Minimal Wave,Electronic,,,,,,,,,,,,164
Mobb Music,Mobb Music,Hip Hop,,,,,,,,,,,,165
Mod,M0d,Rock,,,,,,,,,,,,166
Modal Jazz,Modal Jazz,Jazz,,,,,,,,,,,,167
Modern Classical,Modern Classical,Classical,,,,,,,,,,,,168
Moombahton,Moombahton,EDM,Dance,Electronic,,,,,,,,,,169
Musical Comedy,Musical Comedy,Comedy,,,,,,,,,,,,170
Musical Parody,Musical Parody,Descriptor Genres,,,,,,,,,,,,171
Nature Recordings,Nature Recordings,Field Recordings,,,,,,,,,,,,172
Neo-Psychedelia,Neo-Psychedelia,Psych,,,,,,,,,,,,173
Neoclassical Darkwave,Neocl–ssical Darkwave,Darkwave,,,,,,,,,,,,174
Neoclassical New Age,Neocl–ssical New Age,New Age,,,,,,,,,,,,175
Nerdcore Hip Hop,Nerdcore Hip Hop,Hip Hop,,,,,,,,,,,,176
New Orleans Blues,New Orleans Blues,Blues,,,,,,,,,,,,177
New Orleans R&B,New Orleans R&B,R&B,,,,,,,,,,,,178
New Wave,New Wave,Rock,,,,,,,,,,,,179
Nightcore,Nightcore,Electronic,,,,,,,,,,,,180
Noise,Noise,Experimental,Industrial & Noise,,,,,,,,,,,181
Noise Rock,N0ise Rock,Rock,,,,,,,,,,,,182
Novelty,Novelty,Descriptor Genres,,,,,,,,,,,,183
Nu Jazz,Nu J–zz,Electronic,,,,,,,,,,,,184
Palingsound,Palingsound,Pop,,,,,,,,,,,,185
Piano Blues,Piano Blues,Blues,,,,,,,,,,,,186
Plunderphonics,Plunderphonics,Experimental,,,,,,,,,,,,187
Political Hip Hop,Political Hip Hop,Hip Hop,,,,,,,,,,,,188
Polynesian Music,Polynesian Music,Regional Music,,,,,,,,,,,,189
Pop Rap,P0p Rap,Hip Hop,,,,,,,,,,,,190
Post-Bop,Post-Bop,Jazz,,,,,,,,,,,,191
Post-Hardcore,Post-Hardcore,Punk,Hardcore [Punk],Rock,,,,,,,,,,192
Post-Industrial,Post-Industrial,Industrial & Noise,,,,,,,,,,,,193
Post-Metal,Post-Metal,Metal,Rock,,,,,,,,,,,194
Post-Punk,Post-Punk,Punk,,,,,,,,,,,,195
