Pure Tag,Edited Version (if appl.) –,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,EO
Microhouse,Microhouse,EDM,House,Dance,Electronic,,,,,,,,,384
Microtonal,Microtonal,Modern Classical,Classical,,,,,,,,,,,385
Minimal Drum and Bass,Minimal Drum and Bass,EDM,Drum and Bass,Dance,Electronic,,,,,,,,,386
Minimal Synth,Minimal Synth,Minimal Wave,Electronic,,,,,,,,,,,387
Minimal Techno,Minimal Techno,EDM,Techno,Dance,Electronic,,,,,,,,,388
Minimalism,Minimalism,Modern Classical,Classical,,,,,,,,,,,389
Mod Revival,M0d Revival,Rock,Mod,,,,,,,,,,,390
Moombahcore,Moombahcore,Moombahton,EDM,Dance,Electronic,,,,,,,,,391
MPB,MPB,Brazilian Music,South American Music,Regional Music,,,,,,,,,,392
Native American Music,Native American Music,Traditional Folk,Folk,,,,,,,,,,,393
Neo-Soul,Neo-Soul,R&B,Soul,,,,,,,,,,,394
Neofolk,Neofolk,Contemporary Folk,Folk,,,,,,,,,,,395
Neue Deutsche Welle,Neue Deutsche Welle,New Wave,Rock,,,,,,,,,,,396
New Jack Swing,New Jack Swing,Contemporary R&B,R&B,,,,,,,,,,,397
Noise Pop,N0ise P0p,Alternative Rock,Indie Rock,Rock,,,,,,,,,,398
North African Music,North African Music,African Music,Regional Music,,,,,,,,,,,399
Northeastern African Music,Northeastern African Music,African Music,Regional Music,,,,,,,,,,,400
Northern Soul,Northern Soul,R&B,Soul,,,,,,,,,,,401
Nu Metal,Nu Metal,Alternative Metal,Metal,Rock,,,,,,,,,,402
NWOBHM,NWOBHM,Heavy Metal,Metal,Rock,,,,,,,,,,403
Onkyo,Onkyo,Reductionism,Experimental,,,,,,,,,,,404
Orchestral,Orchestral,Western Classical,Classical,,,,,,,,,,,405
Outlaw Country,Outlaw Country,Progressive Country,Country,Northern American Music,Regional Music,,,,,,,,,406
P-Funk,P-Funk,R&B,Funk,,,,,,,,,,,407
Pagan Black Metal,Pagan Black Metal,Black Metal,Metal,Rock,,,,,,,,,,408
Philly Soul,Philly Soul,R&B,Soul,,,,,,,,,,,409
Poetry,Poetry,Spoken Word,Descriptor Genres,,,,,,,,,,,410
Pop Punk,P0p Punk,Punk Rock,Punk,,,,,,,,,,,411
Post-Grunge,Post-Gr–nge,Alternative Rock,Rock,,,,,,,,,,,412
Post-Minimalism,Post-M–nimalism,Modern Classical,Classical,,,,,,,,,,,413
Progressive Big Band,Progressive Big Band,Jazz,Big Band,,,,,,,,,,,414
Progressive Folk,Progressive Folk,Contemporary Folk,Folk,,,,,,,,,,,415
Progressive House,Progressive House,EDM,House,Dance,Electronic,,,,,,,,,416
Progressive Trance,Progressive Trance,EDM,Trance,Dance,Electronic,,,,,,,,,417
Psytrance,Psytrance,EDM,Trance,Dance,Electronic,,,,,,,,,418
Punk Blues,Punk Bl–es,Punk Rock,Punk,,,,,,,,,,,419
Purple Sound,Purple Sound,Dubstep,EDM,Dance,Electronic,,,,,,,,,420
Rap Metal,Rap Metal,Alternative Metal,Metal,Rock,,,,,,,,,,421
Riot Grrrl,Riot Grrrl,Punk Rock,Punk,,,,,,,,,,,422
Rockabilly,Rockabilly,Rock & Roll,Rock,,,,,,,,,,,423
Romanticism,Romanticism,Western Classical,Classical,,,,,,,,,,,424
Samba,Samba,Brazilian Music,South American Music,Regional Music,,,,,,,,,,425
Sequencer & Tracker,Sequencer & Tracker,Bit Music,Electronic,,,,,,,,,,,426
Shoegaze,Shoegaze,Alternative Rock,Rock,,,,,,,,,,,427
Skiffle,Skiffle,Contemporary Folk,Folk,,,,,,,,,,,428
Smooth Soul,Smooth Soul,R&B,Soul,,,,,,,,,,,429
Sonorism,Sonorism,Modern Classical,Classical,,,,,,,,,,,430
Southern African Music,Southern African Music,African Music,Regional Music,,,,,,,,,,,431
Southern Soul,Southern Soul,R&B,Soul,,,,,,,,,,,432
Space Age Pop,Space Age P0p,Easy Listening,,,,,,,,,,,,433
Spaghetti Western,Spaghetti Western,Modern Classical,Classical,,,,,,,,,,,434
Spanish Music,Spanish Music,Hispanic Music,Regional Music,European Music,,,,,,,,,,435
Speed Garage,Speed Garage,UK Garage,EDM,Dance,Electronic,,,,,,,,,436
Spiritual Jazz,Spiritual Jazz,Avant-Garde Jazz,Jazz,,,,,,,,,,,437
Standards,Standards,Traditional Pop,Pop,,,,,,,,,,,438
Stoner Rock,Stoner Rock,Hard Rock,Rock,,,,,,,,,,,439
Surf Rock,Surf Rock,Surf Music,Rock,,,,,,,,,,,440
Swamp Rock,Swamp Rock,Roots Rock,Rock,,,,,,,,,,,441
Swing Revival,Sw–ng Revival,Jazz,Swing,,,,,,,,,,,442
Symphonic Black Metal,Symphonic Black Metal,Black Metal,Metal,Rock,,,,,,,,,,443
Symphonic Prog,Symphonic Prog,Progressive Rock,Rock,,,,,,,,,,,444
Synth Funk,Synth Funk,R&B,Funk,,,,,,,,,,,445
Tech Trance,Tech Trance,EDM,Trance,Dance,Electronic,,,,,,,,,446
Technical Death Metal,Technical Death Metal,Death Metal,Metal,Rock,,,,,,,,,,447
Techstep,Techstep,Drum and Bass,EDM,Dance,Electronic,,,,,,,,,448
Television Music,Television Music,Soundtrack,Descriptor Genres,,,,,,,,,,,449
Throat Singing,Throat Singing,Traditional Folk,Folk,,,,,,,,,,,450
Traditional Doom Metal,Traditional Doom Metal,Doom Metal,Metal,Rock,,,,,,,,,,451
Tribal House,Tribal House,EDM,House,Dance,Electronic,,,,,,,,,452
Trip Hop,Trip Hop,Downtempo,Electronic,,,,,,,,,,,453
Tropical House,Tropical House,EDM,House,Dance,Electronic,,,,,,,,,454
Trot,Trot,East Asian Music,Regional Music,,,,,,,,,,,455
Twee Pop,Twee Pop,Indie Pop,Pop Rock,Indie Rock,Alternative Rock,Pop,,,,,,,,456
Twerk,Twerk,Trap [EDM],EDM,Dance,Electronic,,,,,,,,,457
UK Funky,UK F–nky,UK Garage,EDM,Dance,Electronic,,,,,,,,,458
UK Hard House,UK Hard House,EDM,House,Dance,Electronic,,,,,,,,,459
Uplifting Trance,Uplifting Trance,EDM,Trance,Dance,Electronic,,,,,,,,,460
Video Game Music,Video Game Music,Soundtrack,Descriptor Genres,,,,,,,,,,,461
Vocal Trance,Vocal Trance,EDM,Trance,Dance,Electronic,,,,,,,,,462
West African Music,West African Music,African Music,Regional Music,,,,,,,,,,,463
Batucada,Batucada,Samba,Brazilian Music,South American Music,Regional Music,,,,,,,,,464
Beat Poetry,Beat Poetry,Spoken Word,Poetry,Descriptor Genres,,,,,,,,,,465
Blackgaze,Blackgaze,Atmospheric Black Metal,Black Metal,Metal,Rock,,,,,,,,,466
Bolero,Bolero,Hispanic American Music,Hispanic Music,Regional Music,,,,,,,,,,467
Celtic Folk Music,Celtic Folk Music,European Folk Music,Traditional Folk,Folk,Regional Music,European Music,,,,,,,,468
Complextro,Complextro,Electro House,EDM,House,Dance,Electronic,,,,,,,,469
Cuban Music,Cuban Music,Hispanic American Music,Hispanic Music,Regional Music,Caribbean Music,,,,,,,,,470
Dancehall,Danc3hall,Jamaican Music,Caribbean Music,Regional Music,Reggae / Ska / Dancehall,,,,,,,,,471
Dark Folk,Dark Folk,Neofolk,Contemporary Folk,Folk,,,,,,,,,,472
Dub Techno,Dub Techno,Minimal Techno,EDM,Techno,Dance,Electronic,,,,,,,,473
Dunedin Sound,Dunedin Sound,Indie Rock,Alternative Rock,Rock,,,,,,,,,,474
English Folk Music,English Folk Music,European Folk Music,Traditional Folk,Folk,Regional Music,British Music,European Music,,,,,,,475
Fanfare,Fanfare,European Folk Music,Traditional Folk,Folk,Regional Music,European Music,,,,,,,,476
Film Score,Film Score,Film Soundtrack,Soundtrack,Descriptor Genres,,,,,,,,,,477
French Folk Music,French Folk Music,European Folk Music,Traditional Folk,Folk,Regional Music,European Music,,,,,,,,478
Future Bounce,Future Bounce,Future House,EDM,House,Dance,Electronic,,,,,,,,479
Ghettotech,Ghettotech,Ghetto House,EDM,House,Dance,Electronic,,,,,,,,480
Gumbe,Gumbe,West African Music,African Music,Regional Music,,,,,,,,,,481
Hands Up,Hands Up,Euro-Trance,EDM,Trance,Dance,Electronic,,,,,,,,482
Highlife,Highlife,West African Music,African Music,Regional Music,,,,,,,,,,483
Inuit Music,Inuit Music,Native American Music,Traditional Folk,Folk,,,,,,,,,,484
Japanese Hardcore,Japanese Hardcore,Punk Rock,Hardcore Punk,Punk,,,,,,,,,,485
Juke,Juke,Ghetto House,EDM,House,Dance,Electronic,,,,,,,,486
Kayōkyoku,Kayōkyoku,Japanese Music,East Asian Music,Regional Music,,,,,,,,,,487
Latin Alternative,Latin Alternative,Hispanic American Music,Hispanic Music,Regional Music,,,,,,,,,,488
Slacker Rock,Slacker Rock,Indie Rock,Alternative Rock,Rock,,,,,,,,,,489
Makossa,Makossa,Central African Music,African Music,Regional Music,,,,,,,,,,490
Mande Music,Mande Music,West African Music,African Music,Regional Music,,,,,,,,,,491
Melbourne Bounce,Melbourne B0unce,Electro House,EDM,House,Dance,Electronic,,,,,,,,492
Mexican Music,Mexican Music,Hispanic American Music,Hispanic Music,Regional Music,,,,,,,,,,493
Noisecore,N0isecore,Hardcore Punk,Punk Rock,Rock,Punk,Hardcore [Punk],,,,,,,,494
Nu Style Gabber,Nu Style Gabber,Hardcore [EDM],Gabber,EDM,Dance,Electronic,,,,,,,,495
Nyahbinghi,Nyahbinghi,Jamaican Music,Caribbean Music,Regional Music,,,,,,,,,,496
Outsider House,Outsider House,EDM,House,Dance,Electronic,,,,,,,,,497
Powerviolence,Powerviolence,Hardcore Punk,Punk Rock,Rock,Punk,Hardcore [Punk],,,,,,,,498
Ragga Jungle,R@gga Jungle,Drum and Bass,EDM,Jungle,Dance,Electronic,,,,,,,,499
Reggae,Reggae,Jamaican Music,Caribbean Music,Regional Music,Reggae / Ska / Dancehall,,,,,,,,,500
Reggaetón,R3ggaetón,Hispanic American Music,Hispanic Music,Regional Music,,,,,,,,,,501
Rocksteady,R0cksteady,Jamaican Music,Caribbean Music,Regional Music,Reggae / Ska / Dancehall,,,,,,,,,502
Samba de roda,Samba de roda,Brazilian Music,Samba,South American Music,Regional Music,,,,,,,,,503
Samba-canção,Samba-canção,Brazilian Music,Samba,South American Music,Regional Music,,,,,,,,,504
Samba-Rock,Samba-R0ck,Brazilian Music,Samba,South American Music,Regional Music,,,,,,,,,505
Slowcore,Slowcore,Indie Rock,Alternative Rock,Rock,,,,,,,,,,506
Symphony,Symphony,Orchestral,Western Classical,Classical,,,,,,,,,,507
Tizita,Tizita,Northeastern African Music,African Music,Regional Music,,,,,,,,,,508
Tone Poem,Tone Poem,Orchestral,Western Classical,Classical,,,,,,,,,,509
Tropicália,Tropicália,MPB,Brazilian Music,South American Music,Regional Music,,,,,,,,,510
Wolof Music,Wolof Music,West African Music,African Music,Regional Music,,,,,,,,,,511
Yoruba Music,Yoruba Music,West African Music,African Music,Regional Music,,,,,,,,,,512
Brass Band,Brass Band,Fanfare,European Folk Music,Traditional Folk,Folk,,,,,,,,,513
Breton Folk Music,Breton Folk Music,French Folk Music,European Folk Music,Traditional Folk,Folk,Regional Music,European Music,,,,,,,514
Dub,D–b,Jamaican Music,Caribbean Music,Reggae,Regional Music,Reggae / Ska / Dancehall,,,,,,,,515
Footwork,Footwork,EDM,House,Dance,Electronic,,,,,,,,,516
Irish Folk Music,Irish Folk Music,Celtic Folk Music,European Folk Music,Traditional Folk,Folk,Regional Music,European Music,,,,,,,517
Lovers Rock,Lovers R0ck,Reggae,Jamaican Music,Caribbean Music,Regional Music,Reggae / Ska / Dancehall,,,,,,,,518
Neoperreo,Neoperreo,Reggaetón,Hispanic American Music,Hispanic Music,Regional Music,,,,,,,,,519
Pop Reggae,P0p Reggae,Jamaican Music,Caribbean Music,Reggae,Regional Music,Reggae / Ska / Dancehall,,,,,,,,520
Ragga,Ragga,Dancehall,Jamaican Music,Caribbean Music,Regional Music,Reggae / Ska / Dancehall,,,,,,,,521
Roots Reggae,Roots Reggae,Jamaican Music,Caribbean Music,Reggae,Regional Music,Reggae / Ska / Dancehall,,,,,,,,522
Son Cubano,Son Cubano,Cuban Music,Hispanic American Music,Hispanic Music,Regional Music,Caribbean Music,,,,,,,,523
Tassu,Tassu,Wolof Music,West African Music,African Music,Regional Music,,,,,,,,,524
Trova,Trova,Cuban Music,Hispanic American Music,Hispanic Music,Regional Music,Caribbean Music,,,,,,,,525
Acid Rock,Acid Rock,Psychedelic Rock,Psych,Rock,Rock,,,,,,,,,526
Afro-Funk,Afro-Funk,R&B,Funk,West African Music,African Music,Regional Music,,,,,,,,527
Afro-Rock,Afro-Rock,Rock,West African Music,African Music,Regional Music,,,,,,,,,528
Afrobeat,Afrobeat,Funk,R&B,Yoruba Music,West African Music,African Music,Regional Music,,,,,,,529
Alternative Dance,Alternative Dance,Alternative Rock,Dance,Rock,Rock,,,,,,,,,530
Amapiano,Amapiano,House,EDM,Southern African Music,African Music,Regional Music,Dance,Electronic,,,,,,531
Ambient Dub,Ambient Dub,Electronic,Ambient,,,,,,,,,,,532
American Folk Music,American Folk Music,Traditional Folk,Folk,Regional Music,Folk,,,,,,,,,533
Andalusian Rock,Andalusian Rock,Progressive Rock,Folk Rock,Spanish Music,Hispanic Music,Rock,Regional Music,,,,,,,534
Appalachian Folk Music,Appalachian Folk Music,American Folk Music,Traditional Folk,Folk,Regional Music,,,,,,,,,535
Avant-Prog,Avant-Prog,Experimental Rock,Progressive Rock,Rock,,,,,,,,,,536
Baltimore Club,Baltimore Club,Breakbeat,House,EDM,Dance,Electronic,,,,,,,,537
Beat Music,Beat Music,Pop Rock,Pop,Rock,,,,,,,,,,538
Big Room,Big Room,Progressive House,Electro House,EDM,House,Dance,Electronic,,,,,,,539
Bitpop,Bitpop,Electronic,Pop,,,,,,,,,,,540
Bolero son,Bolero son,Son Cubano,Cuban Music,Hispanic American Music,Hispanic Music,Regional Music,Caribbean Music,Bolero,,,,,,541
Boogie,Boogie,Disco,R&B,Dance,,,,,,,,,,542
Breakbeat Hardcore,Breakbeat Hardcore,Breakbeat,Hardcore [EDM],EDM,Dance,Electronic,,,,,,,,543
British Dance Band,British Danc3 Band,Jazz,Traditional Pop,Pop,British Music,European Music,Regional Music,,,,,,,544
British Rhythm & Blues,British Rhythm & Bl–es,R&B,Rock,Rhythm & Blues,,,,,,,,,,545
Britpop,Britpop,Pop Rock,Alternative Rock,Pop,Rock,Pop,,,,,,,,546
Brutal Prog,Brutal Prog,Experimental Rock,Progressive Rock,Rock,,,,,,,,,,547
Bubblegum Dance,Bubblegum Dance,Eurodance,EDM,Dance-Pop,Pop,Dance,Electronic,,,,,,,548
C86,C86,Indie Pop,Indie Rock,Alternative Rock,Pop,Rock,Pop,,,,,,,549
Caribbean Folk Music,Caribbean Folk Music,Caribbean Music,Traditional Folk,Folk,Regional Music,Folk,,,,,,,,550
Chanson à texte,Chanson à texte,Singer-Songwriter,Chanson,Regional Music,European Music,,,,,,,,,551
Christmas Music,Christmas Music,Holiday Music,Descriptor Genres,,,,,,,,,,,552
Comedy Rap,Comedy Rap,Musical Comedy,Hip Hop,Comedy,,,,,,,,,,553
Country Blues,C0untry Blues,American Folk Music,Traditional Folk,Acoustic Blues,Blues,Folk,Regional Music,,,,,,,554
Country Pop,Country Pop,Country,Pop,Northern American Music,Regional Music,,,,,,,,,555
Bro-Country,Bro-Country,Country Pop,Country,Pop,Northern American Music,Regional Music,,,,,,,,556
Country Rap,Country Rap,,,,,,,,,,,,,557
Cowpunk,Cowpunk,Punk Rock,Country Rock,Punk,Rock,,,,,,,,,558
Dabke,Dabke,Arabic Music,West Asian Music,Regional Music,,,,,,,,,,559
Afrobeats,Afr0beats,Dance-Pop,Pop,,,,,,,,,,,560
Dance-Punk,Danc3-Punk,Post-Punk,Punk,,,,,,,,,,,561
Dark Ambient,Dark Ambient,Post-Industrial,Ambient,Industrial & Noise,,,,,,,,,,562
Darkside Hardcore,Darkside Hardcore,Breakbeat Hardcore,Breakbeat,Hardcore [EDM],EDM,Dance,Electronic,,,,,,,563
Deconstructed Club,Deconstructed Club,EDM,Post-Industrial,Industrial & Noise,Dance,Electronic,,,,,,,,564
Delta Blues,Delta Blues,Country Blues,American Folk Music,Traditional Folk,Acoustic Blues,Blues,Regional Music,,,,,,,565
Digital Dancehall,Digital Danc3hall,Reggae,Jamaican Music,Caribbean Music,Dancehall,Regional Music,Reggae / Ska / Dancehall,,,,,,,566
Digital Hardcore,Digital Hardcore,Punk,Hardcore [EDM],EDM,Dance,Electronic,,,,,,,,567
Drill,Dr–ll,Trap,Hip Hop,,,,,,,,,,,568
Bop,B0p,Pop Rap,Drill,Gangsta Rap,Hardcore Hip Hop,Trap,Hip Hop,,,,,,,569
Drumstep,Drumstep,Drum and Bass,Brostep,Dubstep,EDM,Dance,Electronic,,,,,,,570
EBM,EBM,EDM,Post-Industrial,Industrial & Noise,Dance,Electronic,,,,,,,,571
Electro Swing,Electro Swing,Nu Jazz,EDM,Electronic,Dance,Electronic,,,,,,,,572
Electro-Disco,Electro-Disco,EDM,Dance,Disco,Electronic,,,,,,,,,573
Electro-Industrial,Electro-Industrial,Post-Industrial,Electronic,Industrial & Noise,,,,,,,,,,574
Electroacoustic,Electroacoustic,Electronic,Experimental,,,,,,,,,,,575
Electropop,Electropop,Electronic,Pop,,,,,,,,,,,576
Emocore,Emocore,Post-Hardcore,Punk,Hardcore [Punk],Rock,Emo,,,,,,,,577
Entechna,Entechna,Balkan Music,Regional Music,European Music,Greek Music,,,,,,,,,578
Experimental Big Band,Exp–rimental Big Band,Avant-Garde Jazz,Big Band,Jazz,,,,,,,,,,579
Flamenco Pop,Fl–menco Pop,Spanish Music,Hispanic Music,Regional Music,European Music,Pop,,,,,,,,580
Folk Pop,Folk Pop,Contemporary Folk,Folk,Pop,,,,,,,,,,581
Freak Folk,Freak Folk,Psychedelic Folk,Contemporary Folk,Folk,Psych,,,,,,,,,582
Freakbeat,Freakbeat,Beat Music,Pop Rock,Garage Rock,Pop,Rock,,,,,,,,583
Free Folk,Free Folk,Psychedelic Folk,Contemporary Folk,Folk,Psych,,,,,,,,,584
Freestyle,Freestyle,EDM,Dance-Pop,Pop,Dance,Electronic,,,,,,,,585
Futurepop,Futurepop,Synthpop,EBM,EDM,Post-Industrial,Electronic,Industrial & Noise,Pop,Dance,Electronic,,,,586
Garage Punk,Garage Punk,Garage Rock,Punk Rock,Punk,Rock,,,,,,,,,587
Glitch,Gl–tch,Electronic,Experimental,,,,,,,,,,,588
Glitch Pop,Glitch Pop,Electronic,Pop,Indietronica,,,,,,,,,,589
Gospel,Gospel,Top-level,,,,,,,,,,,,590
Gothic Rock,Gothic Rock,Post-Punk,Rock,Punk,,,,,,,,,,591
Halloween Music,Halloween Music,Holiday Music,Descriptor Genres,,,,,,,,,,,592
Hardcore Breaks,Hardcore Breaks,Breakbeat Hardcore,Breakbeat,Hardcore [EDM],EDM,Dance,Electronic,,,,,,,593
Heavy Psych,Heavy Psych,Hard Rock,Psychedelic Rock,Psych,Rock,,,,,,,,,594
Hi-NRG,Hi-NRG,Electro-Disco,EDM,Dance,Disco,Electronic,,,,,,,,595
Hiplife,Hiplife,Highlife,West African Music,Hip Hop,African Music,Regional Music,,,,,,,,596
Hyperpop,Hyperpop,Electronic,Pop,,,,,,,,,,,597
Indeterminacy,Indeterminacy,Experimental,Modern Classical,Classical,,,,,,,,,,598
Indian Pop,Indian Pop,South Asian Music,Pop,Regional Music,,,,,,,,,,599
Industrial,Ind–strial,Industrial & Noise,Experimental,,,,,,,,,,,600
Industrial Metal,Industrial Metal,Post-Industrial,Metal,Industrial & Noise,Rock,,,,,,,,,601
Industrial Rock,Industrial Rock,Post-Industrial,Industrial & Noise,Rock,,,,,,,,,,602
Industrial Techno,Industrial Techno,Post-Industrial,EDM,Techno,Industrial & Noise,Dance,Electronic,,,,,,,603
Italo Dance,Italo Dance,Eurodance,EDM,Dance-Pop,Pop,Dance,Electronic,,,,,,,604
Italo-Disco,Italo-Disco,Electro-Disco,EDM,Dance,Disco,Dance,Electronic,,,,,,,605
Eurobeat,Eurobeat,Italo-Disco,Electro-Disco,EDM,Dance,Disco,Electronic,,,,,,,606
Jamaican Ska,Jamaican Ska,Jamaican Music,Caribbean Music,Ska,Regional Music,Reggae / Ska / Dancehall,,,,,,,,607
Jangle Pop,Jangle Pop,Pop Rock,Alternative Rock,Pop,Rock,,,,,,,,,608
Jazz Poetry,Jazz Poetry,Spoken Word,Poetry,Jazz,Descriptor Genres,,,,,,,,,609
Jazz-Funk,Jazz-Funk,R&B,Funk,Jazz,,,,,,,,,,610
Junkanoo,Junkanoo,Caribbean Folk Music,Caribbean Music,Traditional Folk,Folk,Regional Music,,,,,,,,611
Krautrock,Krautrock,Progressive Rock,Experimental Rock,Rock,,,,,,,,,,612
Kwaito,Kwaito,House,EDM,Southern African Music,African Music,Regional Music,Dance,Electronic,,,,,,613
Latin Disco,Latin Disco,Dance,Hispanic American Music,Hispanic Music,Regional Music,Disco,,,,,,,,614
Latin Electronic,Latin Electronic,Hispanic American Music,Hispanic Music,Regional Music,Electronic,,,,,,,,,615
Latin Funk,Latin Funk,R&B,Hispanic American Music,Hispanic Music,Regional Music,Funk,,,,,,,,616
Latin Jazz,Latin Jazz,Hispanic American Music,Hispanic Music,Regional Music,Jazz,,,,,,,,,617
Afro-Cuban Jazz,Afro-Cuban Jazz,Latin Jazz,Hispanic American Music,Hispanic Music,Jazz,Regional Music,,,,,,,,618
Latin Pop,Latin Pop,Hispanic American Music,Hispanic Music,Regional Music,Pop,,,,,,,,,619
Latin Rock,Latin Rock,Hispanic American Music,Hispanic Music,Regional Music,Rock,,,,,,,,,620
Merseybeat,Merseybeat,Beat Music,Pop Rock,Pop,Rock,,,,,,,,,621
Metalcore,Metalcore,Hardcore Punk,Punk Rock,Rock,Punk,Hardcore [Punk],Metal,Rock,,,,,,622
Mathcore,Mathcore,Metalcore,Hardcore Punk,Punk Rock,Rock,Punk,Hardcore [Punk],Metal,Rock,,,,,623
Hispanic American Folk Music,Hispanic American Folk Music,Traditional Folk,Folk,Regional Music,Hispanic American Music,Hispanic Music,,,,,,,,624
Mexican Folk Music,Mexican Folk Music,Traditional Folk,Folk,Regional Music,Mexican Music,Hispanic American Music,Hispanic Music,Hispanic American Folk Music,,,,,,625
Microsound,Microsound,Sound Collage,Experimental,Electronic,,,,,,,,,,626
Midwest Emo,Midwest Emo,Indie Rock,Alternative Rock,Punk,Emo,Rock,,,,,,,,627
Motown Sound,Motown Sound,Pop Soul,R&B,Soul,Pop,,,,,,,,,628
Murga,Murga,Hispanic Music,Musical Theatre,Regional Music,Regional Music,,,,,,,,,629
Musique concrète,Musique concrète,Electroacoustic,Electronic,Experimental,,,,,,,,,,630
Nashville Sound,Nashville Sound,Country Pop,Country,Pop,Northern American Music,Regional Music,,,,,,,,631
Nederbeat,Nederbeat,Beat Music,Pop Rock,Pop,Rock,,,,,,,,,632
New Romantic,New Romantic,New Wave,Rock,Pop,,,,,,,,,,633
No Wave,No Wave,Post-Punk,Experimental Rock,Punk,,,,,,,,,,634
Nu-Disco,Nu-Disco,EDM,Dance,Disco,Electronic,,,,,,,,,635
Future Funk,Future F–nk,Vapor,House,EDM,Electronic,Dance,Electronic,,,,,,,636
Nueva canción,Nueva canción,Contemporary Folk,Folk,Singer-Songwriter,Hispanic Music,Regional Music,,,,,,,,637
Nueva canción española,Nueva canción española,Contemporary Folk,Folk,Singer-Songwriter,Spanish Music,Hispanic Music,Regional Music,European Music,Nueva canción,,,,,638
Nueva canción latinoamericana,Nueva canción latinoam–ricana,Contemporary Folk,Folk,Singer-Songwriter,Hispanic American Music,Hispanic Music,Regional Music,Nueva canción,,,,,,639
Nueva trova,Nueva trova,Nueva canción latinoamericana,Contemporary Folk,Folk,Singer-Songwriter,Hispanic American Music,Hispanic Music,Regional Music,Nueva canción,Trova,Cuban Music,Caribbean Music,,640
Piano Rock,Piano Rock,Pop Rock,Pop,Rock,,,,,,,,,,641
Piedmont Blues,Pi3dmont Blues,Country Blues,American Folk Music,Traditional Folk,Acoustic Blues,Blues,Regional Music,,,,,,,642
Pop Raï,Pop Raï,Arabic Music,North African Music,African Music,Pop,Regional Music,,,,,,,,643
Post-Punk Revival,Post-Punk Revival,Indie Rock,Alternative Rock,Post-Punk,Punk,Rock,,,,,,,,644
Power Electronics,Power Electronics,Industrial,Industrial & Noise,Experimental,,,,,,,,,,645
Death Industrial,Death Ind–strial,Power Electronics,Industrial,Industrial & Noise,Experimental,Experimental,,,,,,,,646
Power Pop,Power Pop,Pop Rock,Pop,Rock,,,,,,,,,,647
Progressive Breaks,Progressive Breaks,Progressive House,Breakbeat,EDM,House,Dance,Electronic,,,,,,,648
Psychedelic Pop,Psychedelic Pop,Pop,Psych,,,,,,,,,,,649
Psychedelic Soul,Psychedelic Soul,R&B,Psych,Soul,,,,,,,,,,650
Psychobilly,Psychobilly,Rockabilly,Rock & Roll,Punk Rock,Punk,Rock,,,,,,,,651
Folk Punk,F0lk Punk,Punk Rock,Punk,,,,,,,,,,,652
Celtic Punk,Celtic Punk,Folk Punk,Punk Rock,Rock,Punk,,,,,,,,,653
Gypsy Punk,Gypsy Punk,Folk Punk,Punk Rock,Punk,,,,,,,,,,654
Horror Punk,Horror Punk,Punk Rock,Punk,,,,,,,,,,,655
Ragtime,Ragtime,American Folk Music,Traditional Folk,Folk,Regional Music,,,,,,,,,656
Rock Opera,Rock 0pera,Rock,Descriptor Genres,,,,,,,,,,,657
Romanian Popcorn,Romanian Popcorn,EDM,Dance-Pop,Pop,Dance,Electronic,,,,,,,,658
Samba Soul,Samba Soul,R&B,Brazilian Music,Samba,Soul,South American Music,Regional Music,,,,,,,659
Screamo,Screamo,Emo,Punk,Post-Hardcore,Hardcore [Punk],Rock,,,,,,,,660
Emoviolence,Emoviolence,Powerviolence,Hardcore Punk,Punk Rock,Rock,Punk,Hardcore [Punk],Screamo,Emo,Post-Hardcore,,,,661
Singeli,Singeli,EDM,East African Music,African Music,Regional Music,Dance,Electronic,,,,,,,662
Ska Punk,Ska Punk,Third Wave Ska,Punk Rock,Punk,Ska,Reggae / Ska / Dancehall,,,,,,,,663
Soft Rock,Soft Rock,Pop Rock,Pop,Rock,Pop,,,,,,,,,664
South Asian Classical Music,South Asian Classical Music,South Asian Music,Classical,Regional Music,,,,,,,,,,665
Hindustani Classical Music,Hindustani Classical Music,South Asian Classical Music,South Asian Music,Classical,Regional Music,,,,,,,,,666
Southeast Asian Folk Music,Southeast Asian Folk Music,Traditional Folk,Southeast Asian Music,Folk,Regional Music,,,,,,,,,667
Space Disco,Space Disco,Electro-Disco,EDM,Dance,Disco,Electronic,,,,,,,,668
Space Rock,Space Rock,Psychedelic Rock,Psych,Rock,,,,,,,,,,669
Spanish Folk Music,Spanish Folk Music,Traditional Folk,Folk,Regional Music,European Folk Music,European Music,Spanish Music,Hispanic Music,,,,,,670
Spirituals,Spirituals,American Folk Music,Traditional Folk,Folk,Regional Music,,,,,,,,,671
Surf Punk,Surf Punk,Punk Rock,Surf Music,Rock,Punk,,,,,,,,,672
Synth Punk,Synth Punk,Electronic,Punk,,,,,,,,,,,673
Tech House,Tech House,EDM,House,Dance,Electronic,,,,,,,,,674
Traditional Black Gospel,Traditional Black Gospel,American Folk Music,Traditional Folk,Gospel,Folk,Northern American Music,Regional Music,,,,,,,675
Traditional Country,Traditional Country,American Folk Music,Traditional Folk,Folk,Country,Northern American Music,Regional Music,,,,,,,676
Country Boogie,Country B00gie,Traditional Country,American Folk Music,Traditional Folk,Folk,Country,Northern American Music,Regional Music,,,,,,677
