Pure Tag,Edited Version (if appl.) –,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,EO
Abstract Hip Hop,Abstract Hip Hop,Hip Hop,,,,,,,,,,,,47
Acoustic Blues,Acoustic Blues,Blues,,,,,,,,,,,,48
Acoustic Rock,Acoustic Rock,Rock,,,,,,,,,,,,49
Adult Contemporary,Adult Contemporary,Pop,,,,,,,,,,,,50
African Music,African Music,Regional Music,,,,,,,,,,,,51
Alternative Metal,Alternative Metal,Metal,Rock,,,,,,,,,,,52
Alternative Rock,Alternative Rock,Rock,,,,,,,,,,,,53
Alt-Country,Alt-Country,Country,Northern American Music,Regional Music,,,,,,,,,,54
Alt-Pop,Alt-Pop,Pop,,,,,,,,,,,,55
Americana,Americana,Northern American Music,Regional Music,,,,,,,,,,,56
Andean New Age,Andean New Age,New Age,,,,,,,,,,,,57
AOR,AOR,Rock,,,,,,,,,,,,58
Arabic Music,Arabic Music,Regional Music,,,,,,,,,,,,59
Art Pop,Art Pop,Pop,,,,,,,,,,,,60
Art Punk,Art Punk,Punk,,,,,,,,,,,,61
Art Rock,Art Rock,Rock,,,,,,,,,,,,62
Avant-Garde Jazz,Avant-Garde Jazz,Jazz,,,,,,,,,,,,63
Avant-Garde Metal,Avant-Garde Metal,Metal,Rock,,,,,,,,,,,64
Balkan Music,Balkan Music,Regional Music,European Music,,,,,,,,,,,65
Baroque Pop,Baroque Pop,Pop,,,,,,,,,,,,66
Bebop,Bebop,Jazz,,,,,,,,,,,,67
Big Band,Big Band,Jazz,,,,,,,,,,,,68
Bit Music,Bit Music,Electronic,,,,,,,,,,,,69
Black Metal,Black Metal,Metal,Rock,,,,,,,,,,,70
Blue-Eyed Soul,Blue-Eyed S0ul,Pop,,,,,,,,,,,,71
Blues Rock,Bl–es Rock,Rock,,,,,,,,,,,,72
Boy Band,Boy Band,Pop,,,,,,,,,,,,73
Brazilian Music,Brazilian Music,South American Music,Regional Music,,,,,,,,,,,74
Breakbeat,Breakbeat,EDM,Dance,Electronic,,,,,,,,,,75
Brill Building,Brill Building,Pop,,,,,,,,,,,,76
Bubblegum,B–bblegum,Pop,,,,,,,,,,,,77
Bubblegum Bass,Bubblegum Bass,EDM,Dance,Electronic,,,,,,,,,,78
C-Pop,C-Pop,Pop,,,,,,,,,,,,79
Caribbean Music,Caribbean Music,Regional Music,,,,,,,,,,,,80
Cartoon Music,Cartoon Music,Jazz,,,,,,,,,,,,81
Celtic New Age,Celtic New Age,New Age,European Music,Regional Music,,,,,,,,,,82
Chamber Jazz,Chamber Jazz,Jazz,,,,,,,,,,,,83
Chanson,Chanson,Regional Music,European Music,,,,,,,,,,,84
Children's Music,Children's Music,Descriptor Genres,,,,,,,,,,,,85
CCM,CCM,,,,,,,,,,,,,
Christian Hip Hop,Christian Hip Hop,CCM,Hip Hop,Scenes & Movements,,,,,,,,,,87
Christian Rock,Christian Rock,CCM,Rock,Scenes & Movements,,,,,,,,,,88
Cinematic Classical,Cinematic Classical,Classical,,,,,,,,,,,,89
Cloud Rap,Cloud Rap,Hip Hop,,,,,,,,,,,,90
Conscious Hip Hop,Conscious Hip Hop,Hip Hop,,,,,,,,,,,,91
Contemporary Country,Contemporary Country,Country,Northern American Music,Regional Music,,,,,,,,,,92
Contemporary Folk,Contemporary Folk,Folk,,,,,,,,,,,,93
Contemporary R&B,Contemporary R&B,R&B,,,,,,,,,,,,94
Cool Jazz,Cool Jazz,Jazz,,,,,,,,,,,,95
Country Rock,C0untry Rock,Rock,,,,,,,,,,,,96
Crunk,Crunk,Hip Hop,,,,,,,,,,,,97
Dark Jazz,Dark Jazz,Jazz,,,,,,,,,,,,98
Death Metal,Death Metal,Metal,Rock,,,,,,,,,,,99
Dirty South,Dirty South,Hip Hop,,,,,,,,,,,,100
Disco,Disco,Dance,,,,,,,,,,,,101
Disco Rap,D–sco Rap,Hip Hop,,,,,,,,,,,,102
Dixieland,Dixieland,Jazz,,,,,,,,,,,,103
Doo-Wop,Doo-Wop,R&B,,,,,,,,,,,,104
Doom Metal,Doom Metal,Metal,Rock,,,,,,,,,,,105
Downtempo,Downtempo,Electronic,,,,,,,,,,,,106
Drone,Drone,Experimental,,,,,,,,,,,,107
Drone Metal,Dr0ne Metal,Metal,Rock,,,,,,,,,,,108
Drum and Bass,Drum and Bass,EDM,Dance,Electronic,,,,,,,,,,109
Dubstep,Dubstep,EDM,Dance,Electronic,,,,,,,,,,110
East Asian Music,East Asian Music,Asian Music,Regional Music,,,,,,,,,,,111
East Coast Hip Hop,East Coast Hip Hop,Hip Hop,Scenes & Movements,,,,,,,,,,,112
ECM Style Jazz,ECM Style Jazz,Jazz,,,,,,,,,,,,113
Electric Blues,Electric Blues,Blues,,,,,,,,,,,,114
Electro,Electr0,EDM,Dance,Electronic,,,,,,,,,,115
Electroclash,Electroclash,EDM,Dance,Electronic,,,,,,,,,,116
Emo,Emo,Punk,,,,,,,,,,,,117
Emo Rap,Em0 Rap,Hip Hop,,,,,,,,,,,,118
Ethereal Wave,Ethereal Wave,Darkwave,,,,,,,,,,,,119
Europop,Europop,Pop,,,,,,,,,,,,120
Experimental Hip Hop,Exp–rimental Hip Hop,Hip Hop,,,,,,,,,,,,121
Experimental Rock,Exp–rimental Rock,Rock,,,,,,,,,,,,122
Folk Metal,F0lk Metal,Metal,Rock,,,,,,,,,,,123
Folk Rock,F0lk Rock,Rock,,,,,,,,,,,,124
Folktronica,F0lktronica,Electronic,,,,,,,,,,,,125
Free Improvisation,Free Improvisation,Experimental,,,,,,,,,,,,126
French Pop,French Pop,Pop,,,,,,,,,,,,127
Acid Jazz,Acid Jazz,Funk,R&B,,,,,,,,,,,128
Funk Rock,F–nk Rock,Rock,,,,,,,,,,,,129
Funktronica,F–nktronica,EDM,Dance,Electronic,,,,,,,,,,130
Future Bass,Future Bass,EDM,Dance,Electronic,,,,,,,,,,131
G-Funk,G-F–nk,Hip Hop,,,,,,,,,,,,132
Garage Rock,Garage Rock,Rock,,,,,,,,,,,,133
Girl Group,Girl Group,Pop,,,,,,,,,,,,134
Glam Rock,Glam Rock,Rock,,,,,,,,,,,,135
Glitch Hop,Glitch Hop,Electronic,,,,,,,,,,,,136
Greek Music,Greek Music,Regional Music,European Music,,,,,,,,,,,137
Grime,Grime,EDM,Dance,Electronic,,,,,,,,,,138
Groove Metal,Groove Metal,Metal,Rock,,,,,,,,,,,139
Hard Rock,Hard Rock,Rock,,,,,,,,,,,,140
Hardcore [EDM],Hardcore [EDM],EDM,Dance,Electronic,,,,,,,,,,141
Hardcore [Punk],Hardcore [Punk],Punk,Rock,,,,,,,,,,,142
Hardcore Hip Hop,Hardcore Hip Hop,Hip Hop,,,,,,,,,,,,143
Heartland Rock,Heartland Rock,Rock,,,,,,,,,,,,144
Heavy Metal,Heavy Metal,Metal,Rock,,,,,,,,,,,145
HexD,HexD,Electronic,,,,,,,,,,,,146
Hispanic Music,Hispanic Music,Regional Music,,,,,,,,,,,,147
Holiday Music,Holiday Music,Descriptor Genres,,,,,,,,,,,,148
Honky Tonk,Honky Tonk,Country,Northern American Music,Regional Music,,,,,,,,,,149
House,House,EDM,Dance,Electronic,,,,,,,,,,150
Hyphy,Hyphy,Hip Hop,,,,,,,,,,,,151
IDM,IDM,Electronic,,,,,,,,,,,,152
Illbient,Illbient,Electronic,,,,,,,,,,,,153
Indie Pop,Indie Pop,Pop,,,,,,,,,,,,154
Indietronica,Indietronica,Electronic,,,,,,,,,,,,155
Instrumental Hip Hop,Instrumental Hip Hop,Hip Hop,,,,,,,,,,,,156
J-Pop,J-Pop,Pop,Scenes & Movements,,,,,,,,,,,157
Japanese Hip Hop,Japanese Hip Hop,Hip Hop,Scenes & Movements,,,,,,,,,,,158
Jazz Fusion,Jazz Fusion,Jazz,,,,,,,,,,,,159
Jazz Pop,J–zz Pop,Pop,,,,,,,,,,,,160
Jazz Rap,J–zz Rap,Hip Hop,,,,,,,,,,,,161
Jazz-Rock,J–zz-Rock,Rock,,,,,,,,,,,,162
K-Pop,K-Pop,Pop,,,,,,,,,,,,163
Latin Rap,Latin Rap,Hip Hop,,,,,,,,,,,,164
Math Rock,Math Rock,Rock,,,,,,,,,,,,165
Miami Bass,Miami Bass,Hip Hop,Dance,,,,,,,,,,,166
Minimal Wave,Minimal Wave,Electronic,,,,,,,,,,,,167
Mobb Music,Mobb Music,Hip Hop,,,,,,,,,,,,168
Mod,M0d,Rock,Scenes & Movements,,,,,,,,,,,169
Modal Jazz,Modal Jazz,Jazz,,,,,,,,,,,,170
Modern Classical,Modern Classical,Classical,,,,,,,,,,,,171
Moombahton,Moombahton,EDM,Dance,Electronic,,,,,,,,,,172
Musical Comedy,Musical Comedy,Comedy,,,,,,,,,,,,173
Musical Parody,Musical Parody,Descriptor Genres,,,,,,,,,,,,174
Nature Recordings,Nature Recordings,Field Recordings,,,,,,,,,,,,175
Neo-Psychedelia,Neo-Psychedelia,Psych,,,,,,,,,,,,176
Neoclassical Darkwave,Neocl–ssical Darkwave,Darkwave,,,,,,,,,,,,177
Neoclassical New Age,Neocl–ssical New Age,New Age,,,,,,,,,,,,178
Nerdcore Hip Hop,Nerdcore Hip Hop,Hip Hop,,,,,,,,,,,,179
New Orleans Blues,New Orleans Blues,Blues,,,,,,,,,,,,180
New Orleans R&B,New Orleans R&B,R&B,,,,,,,,,,,,181
New Wave,New Wave,Rock,,,,,,,,,,,,182
Nightcore,Nightcore,Electronic,,,,,,,,,,,,183
Noise,Noise,Experimental,Industrial & Noise,,,,,,,,,,,184
Noise Rock,N0ise Rock,Rock,,,,,,,,,,,,185
Novelty,Novelty,Descriptor Genres,,,,,,,,,,,,186
Nu Jazz,Nu J–zz,Electronic,,,,,,,,,,,,187
Palingsound,Palingsound,Pop,,,,,,,,,,,,188
Piano Blues,Piano Blues,Blues,,,,,,,,,,,,189
Plunderphonics,Plunderphonics,Experimental,,,,,,,,,,,,190
Political Hip Hop,Political Hip Hop,Hip Hop,,,,,,,,,,,,191
Polynesian Music,Polynesian Music,Regional Music,,,,,,,,,,,,192
Pop Rap,P0p Rap,Hip Hop,,,,,,,,,,,,193
Post-Bop,Post-Bop,Jazz,,,,,,,,,,,,194
Post-Hardcore,Post-Hardcore,Punk,Hardcore [Punk],Rock,,,,,,,,,,195
Post-Industrial,Post-Industrial,Industrial & Noise,,,,,,,,,,,,196
Post-Metal,Post-Metal,Metal,Rock,,,,,,,,,,,197
Post-Punk,Post-Punk,Punk,,,,,,,,,,,,198
Post-Rock,Post-Rock,Rock,,,,,,,,,,,,199
Power Metal,Power Metal,Metal,Rock,,,,,,,,,,,200
Progressive Rock,Progressive Rock,Rock,,,,,,,,,,,,201
Progressive Country,Progressive Country,Country,Northern American Music,Regional Music,,,,,,,,,,202
Progressive Electronic,Progressive Electronic,Electronic,,,,,,,,,,,,203
Progressive Metal,Progressive Metal,Metal,Rock,,,,,,,,,,,204
Progressive Pop,Progressive Pop,Pop,,,,,,,,,,,,205
Proto-Punk,Proto-Punk,Punk,,,,,,,,,,,,206
Psybient,Psybient,Electronic,,,,,,,,,,,,207
Pub Rock,Pub Rock,Rock,,,,,,,,,,,,208
Rap Rock,Rap Rock,Rock,,,,,,,,,,,,209
Reductionism,Reductionism,Experimental,,,,,,,,,,,,210
Rhythm & Blues,Rhythm & Bl–es,R&B,,,,,,,,,,,,211
Rock & Roll,Rock & Roll,Rock,,,,,,,,,,,,212
Roots Rock,Roots Rock,Rock,,,,,,,,,,,,213
Satire,Satire,Descriptor Genres,,,,,,,,,,,,214
Show Tunes,Show Tunes,Musical Theatre,,,,,,,,,,,,215
Sketch Comedy,Sketch Comedy,Comedy,,,,,,,,,,,,216
Sludge Metal,Sludge Metal,Metal,Rock,,,,,,,,,,,217
Smooth Jazz,Smooth Jazz,Jazz,,,,,,,,,,,,218
Snap,Snap,Hip Hop,,,,,,,,,,,,219
Sophisti-Pop,Sophisti-Pop,Pop,,,,,,,,,,,,220
Soul Blues,S0ul Blues,Blues,,,,,,,,,,,,221
Soul Jazz,S0ul Jazz,Jazz,,,,,,,,,,,,222
Sound Collage,Sound Collage,Experimental,,,,,,,,,,,,223
Soundtrack,Soundtrack,Descriptor Genres,,,,,,,,,,,,224
South Asian Music,South Asian Music,Asian Music,Regional Music,,,,,,,,,,,225
Southeast Asian Music,Southeast Asian Music,Asian Music,Regional Music,,,,,,,,,,,226
Southern Hip Hop,Southern Hip Hop,Hip Hop,Scenes & Movements,,,,,,,,,,,227
Southern Metal,Southern Metal,Metal,Rock,,,,,,,,,,,228
Southern Rock,Southern Rock,Rock,,,,,,,,,,,,229
Space Ambient,Space Ambient,Ambient,,,,,,,,,,,,230
Spacesynth,Spacesynth,EDM,Dance,Electronic,,,,,,,,,,231
Speed Metal,Speed Metal,Metal,Rock,,,,,,,,,,,232
Spoken Word,Spoken Word,Descriptor Genres,,,,,,,,,,,,233
Stoner Metal,Stoner Metal,Metal,Rock,,,,,,,,,,,234
Sunshine Pop,Sunshine Pop,Pop,,,,,,,,,,,,235
Surf Music,Surf Music,Rock,,,,,,,,,,,,236
Swing,Sw–ng,Jazz,,,,,,,,,,,,237
Symphonic Metal,Symphonic Metal,Metal,Rock,,,,,,,,,,,238
Symphonic Rock,Symphonic Rock,Rock,,,,,,,,,,,,239
Synthwave,Synthwave,Electronic,,,,,,,,,,,,240
Tape Music,Tape Music,Experimental,,,,,,,,,,,,241
Techno,Techno,EDM,Dance,Electronic,,,,,,,,,,242
Teen Pop,Teen Pop,Pop,,,,,,,,,,,,243
Third Stream,Third Stream,Jazz,,,,,,,,,,,,244
Third Wave Ska,Third Wave Ska,Ska,Reggae / Ska / Dancehall,,,,,,,,,,,245
Thrash Metal,Thrash Metal,Metal,Rock,,,,,,,,,,,246
Traditional Pop,Traditional Pop,Pop,,,,,,,,,,,,247
Trance,Trance,EDM,Dance,Electronic,,,,,,,,,,248
Trap [EDM],Tr@p [EDM],EDM,Dance,Electronic,,,,,,,,,,249
Trap,Trap,Hip Hop,,,,,,,,,,,,250
Tribal Ambient,Tribal Ambient,Ambient,,,,,,,,,,,,251
Turntable Music,Turntable Music,Experimental,,,,,,,,,,,,252
Turntablism,Turntablism,Hip Hop,,,,,,,,,,,,253
UK Bass,UK Bass,EDM,Dance,Electronic,,,,,,,,,,254
UK Garage,UK Garage,EDM,Dance,Electronic,,,,,,,,,,255
UK Hip Hop,UK Hip Hop,Hip Hop,Scenes & Movements,,,,,,,,,,,256
Vapor,Vapor,Electronic,,,,,,,,,,,,257
Vaporwave,Vaporwave,Electronic,Vapor,,,,,,,,,,,258
Vaudeville Blues,Vaudeville Blues,Blues,,,,,,,,,,,,259
Vocal Jazz,Vocal Jazz,Jazz,,,,,,,,,,,,260
West Asian Music,West Asian Music,Asian Music,Regional Music,,,,,,,,,,,261
West Coast Hip Hop,West Coast Hip Hop,Hip Hop,Scenes & Movements,,,,,,,,,,,262
Western Classical,Western Classical,Classical,,,,,,,,,,,,263
Wonky,Wonky,EDM,Dance,Electronic,,,,,,,,,,264
Yé-yé,Yé-yé,Pop,,,,,,,,,,,,265
Traditional Folk,Traditional Folk,Folk,Regional Music,,,,,,,,,,,266
Punk Rock,Punk Rock,Rock,Punk,,,,,,,,,,,267
Psychedelic Rock,Psychedelic Rock,Rock,Psych,,,,,,,,,,,268
Pop Rock,Pop Rock,Pop,Rock,,,,,,,,,,,269
Psychedelic Folk,Psychedelic Folk,Contemporary Folk,Folk,Psych,Folk,,,,,,,,,270
Eurodance,Eurodance,EDM,Dance-Pop,Pop,Dance,Electronic,,,,,,,,271
Synthpop,Synthpop,Electronic,Pop,,,,,,,,,,,272
Pop Soul,Pop Soul,R&B,Pop,Soul,,,,,,,,,,273
Hardcore Punk,Hardcore Punk,Punk Rock,Rock,Punk,Hardcore [Punk],,,,,,,,,274
European Folk Music,European Folk Music,Traditional Folk,Folk,Regional Music,European Music,,,,,,,,,275
2-Step,2-Step,UK Garage,EDM,Dance,Electronic,,,,,,,,,276
Acid House,Acid House,EDM,House,Dance,Electronic,,,,,,,,,277
Acid Techno,Acid Techno,EDM,Techno,Dance,Electronic,,,,,,,,,278
Acid Trance,Acid Trance,EDM,Trance,Dance,Electronic,,,,,,,,,279
Acidcore,Acidcore,Hardcore [EDM],EDM,Dance,Electronic,,,,,,,,,280
Afro-House,Afro-House,EDM,House,Dance,Electronic,,,,,,,,,281
Alternative R&B,Alternative R&B,Contemporary R&B,R&B,,,,,,,,,,,282
Ambient House,Amb–ent House,EDM,House,Dance,Electronic,,,,,,,,,283
Ambient Techno,Amb–ent Techno,EDM,Techno,Dance,Electronic,,,,,,,,,284
Ambient Trance,Amb–ent Trance,EDM,Trance,Dance,Electronic,,,,,,,,,285
American Primitivism,American Primitivism,Contemporary Folk,Folk,,,,,,,,,,,286
Anti-Folk,Anti-Folk,Contemporary Folk,Folk,,,,,,,,,,,287
Atlanta Bass,Atlanta Bass,Miami Bass,Hip Hop,,,,,,,,,,,288
Atmospheric Black Metal,Atmospheric Black Metal,Black Metal,Metal,Rock,,,,,,,,,,289
Atmospheric Drum and Bass,Atmospheric Drum and Bass,EDM,Drum and Bass,Dance,Electronic,,,,,,,,,290
Atmospheric Sludge Metal,Atmospheric Sludge Metal,Sludge Metal,Metal,Rock,,,,,,,,,,291
Avant-Folk,Avant-Folk,Contemporary Folk,Folk,,,,,,,,,,,292
Baggy,Baggy,Alternative Rock,Rock,,,,,,,,,,,293
Balearic Beat,Balearic Beat,EDM,Dance,Electronic,,,,,,,,,,294
Baroque Music,Baroque Music,Western Classical,Classical,European Music,Regional Music,,,,,,,,,295
Bassline,Bassline,UK Garage,EDM,Dance,Electronic,,,,,,,,,296
Bedroom Pop,Bedroom Pop,Indie Pop,Pop,,,,,,,,,,,297
Berlin School,Berlin School,Progressive Electronic,Electronic,,,,,,,,,,,298
Big Beat,Big Beat,Breakbeat,EDM,Dance,Electronic,,,,,,,,,299
Black 'n' Roll,Black 'n' Roll,Black Metal,Metal,Rock,,,,,,,,,,300
Bleep Techno,Bleep Techno,EDM,Techno,Dance,Electronic,,,,,,,,,301
Boom Bap,Boom Bap,Hip Hop,,,,,,,,,,,,302
Bossa nova,Bossa nova,Brazilian Music,South American Music,Regional Music,,,,,,,,,,303
Breakcore,Breakcore,Hardcore [EDM],EDM,Dance,Electronic,,,,,,,,,304
British Music,British Music,European Music,Regional Music,,,,,,,,,,,305
British Folk Rock,British F0lk Rock,Folk Rock,Rock,British Music,European Music,Regional Music,,,,,,,,306
Brostep,Brostep,Dubstep,EDM,Dance,Electronic,,,,,,,,,307
Brutal Death Metal,Brutal Death Metal,Death Metal,Metal,Rock,,,,,,,,,,308
Carols,Carols,Holiday Music,Descriptor Genres,,,,,,,,,,,309
Celtic Rock,Celtic Rock,Folk Rock,Rock,European Music,Regional Music,,,,,,,,,310
Central African Music,Central African Music,African Music,Regional Music,,,,,,,,,,,311
Chamber Folk,Chamber Folk,Contemporary Folk,Folk,,,,,,,,,,,312
Chamber Music,Chamber Music,Western Classical,Classical,,,,,,,,,,,313
Chamber Pop,Chamber Pop,Indie Pop,Pop,,,,,,,,,,,314
Chicago Blues,Chicago Blues,Electric Blues,Blues,,,,,,,,,,,315
Chicago House,Chicago House,EDM,House,Dance,Electronic,,,,,,,,,316
Chicago Soul,Chicago Soul,R&B,Soul,,,,,,,,,,,317
Chillstep,Chillstep,Dubstep,EDM,Dance,Electronic,,,,,,,,,318
Chillwave,Chillwave,Indietronica,Electronic,,,,,,,,,,,319
Chiptune,Chiptune,Bit Music,Electronic,,,,,,,,,,,320
City Pop,City Pop,Pop,,,,,,,,,,,,321
Classical Period,Classical Period,Western Classical,Classical,European Music,Regional Music,,,,,,,,,322
Waltz,Waltz,European Music,Regional Music,,,,,,,,,,,323
Comedy Rock,Comedy Rock,Musical Comedy,Comedy,,,,,,,,,,,324
Country Soul,C0untry Soul,R&B,Soul,,,,,,,,,,,325
Crunkcore,Crunkcore,Hip Hop,Crunk,,,,,,,,,,,326
Dancefloor Drum and Bass,Dancefloor Drum and Bass,EDM,Drum and Bass,Dance,Electronic,,,,,,,,,327
Deep Funk,Deep Funk,R&B,Funk,,,,,,,,,,,328
Deep House,Deep House,EDM,House,Dance,Electronic,,,,,,,,,329
Deep Soul,Deep Soul,R&B,Soul,,,,,,,,,,,330
Depressive Black Metal,Depressive Black Metal,Black Metal,Metal,Rock,,,,,,,,,,331
Detroit Techno,Detroit Techno,EDM,Techno,Dance,Electronic,,,,,,,,,332
Dream Pop,Dream P0p,Alternative Rock,Rock,,,,,,,,,,,333
Dream Trance,Dream Trance,EDM,Trance,Dance,Electronic,,,,,,,,,334
Drill and Bass,Drill and Bass,IDM,Electronic,,,,,,,,,,,335
Dutch House,Dutch House,EDM,House,Dance,Electronic,,,,,,,,,336
East African Music,East African Music,African Music,Regional Music,,,,,,,,,,,337
Electric Texas Blues,Electric Texas Blues,Electric Blues,Blues,,,,,,,,,,,338
Electro House,Electro House,EDM,House,Dance,Electronic,,,,,,,,,339
Emo-Pop,Emo-P0p,Punk,Emo,,,,,,,,,,,340
Euro House,Euro House,EDM,House,Dance,Electronic,,,,,,,,,341
Euro-Disco,Euro-Disco,Dance,Disco,,,,,,,,,,,342
Euro-Trance,Euro-Trance,EDM,Trance,Dance,Electronic,,,,,,,,,343
Film Soundtrack,Film Soundtrack,Soundtrack,Descriptor Genres,,,,,,,,,,,344
Folk Baroque,Folk Baroque,Contemporary Folk,Folk,,,,,,,,,,,345
Free Jazz,Free Jazz,Avant-Garde Jazz,Jazz,,,,,,,,,,,346
French House,French House,EDM,House,Dance,Electronic,,,,,,,,,347
Funky House,F–nky House,EDM,House,Dance,Electronic,,,,,,,,,348
Future Garage,Future Garage,UK Garage,EDM,Dance,Electronic,,,,,,,,,349
Future House,Future House,EDM,House,Dance,Electronic,,,,,,,,,350
Gabber,Gabber,Hardcore [EDM],EDM,Dance,Electronic,,,,,,,,,351
Gangsta Rap,Gangsta Rap,Hardcore Hip Hop,Hip Hop,,,,,,,,,,,352
Garage House,Garage House,EDM,House,Dance,Electronic,,,,,,,,,353
Garage Rock Revival,Garage Rock Revival,Garage Rock,Rock,,,,,,,,,,,354
Ghetto House,Ghetto House,EDM,House,Dance,Electronic,,,,,,,,,355
Goa Trance,Goa Trance,EDM,Trance,Dance,Electronic,,,,,,,,,356
Gothic Country,Gothic Country,Alt-Country,Country,Northern American Music,Regional Music,,,,,,,,,357
Grunge,Grunge,Alternative Rock,Rock,,,,,,,,,,,358
Halftime,Halftime,Drum and Bass,EDM,Dance,Electronic,,,,,,,,,359
Hard Bop,Hard Bop,Bebop,Jazz,,,,,,,,,,,360
Hard Trance,Hard Trance,EDM,Trance,Dance,Electronic,,,,,,,,,361
Hardstep,Hardstep,Drum and Bass,EDM,Dance,Electronic,,,,,,,,,362
Harsh Noise,Harsh Noise,Experimental,Noise,Industrial & Noise,,,,,,,,,,363
Hawaiian Music,Hawaiian Music,Polynesian Music,Regional Music,,,,,,,,,,,364
Hip House,Hip House,EDM,House,Dance,Electronic,,,,,,,,,365
Horrorcore,Horrorcore,Hardcore Hip Hop,Hip Hop,,,,,,,,,,,366
Hypnagogic Pop,Hypnagogic Pop,Neo-Psychedelia,Psych,,,,,,,,,,,367
Ibiza Trance,Ibiza Trance,EDM,Trance,Dance,Electronic,,,,,,,,,368
Impressionism,Impressionism,Western Classical,Classical,,,,,,,,,,,369
Indie Folk,Indie Folk,Contemporary Folk,Folk,,,,,,,,,,,370
Indie Rock,Indie Rock,Alternative Rock,Rock,,,,,,,,,,,371
Industrial Hip Hop,Industrial Hip Hop,Experimental Hip Hop,Hip Hop,,,,,,,,,,,372
Italo House,Italo House,EDM,House,Dance,Electronic,,,,,,,,,373
Jamaican Music,Jamaican Music,Caribbean Music,Regional Music,,,,,,,,,,,374
Japanese Music,Japanese Music,East Asian Music,Asian Music,Regional Music,,,,,,,,,,375
Jazzstep,J–zzstep,Drum and Bass,EDM,Dance,Electronic,,,,,,,,,376
Jump-Up,Jump-Up,Drum and Bass,EDM,Dance,Electronic,,,,,,,,,377
Jungle,Jungle,Drum and Bass,EDM,Dance,Electronic,,,,,,,,,378
Hispanic American Music,Hispanic American Music,Hispanic Music,Regional Music,,,,,,,,,,,379
Library Music,Library Music,Soundtrack,Descriptor Genres,,,,,,,,,,,380
Liquid Drum and Bass,Liquid Drum and Bass,Drum and Bass,EDM,Dance,Electronic,,,,,,,,,381
Lounge,Lounge,Easy Listening,,,,,,,,,,,,382
Mandopop,Mandopop,C-Pop,Pop,,,,,,,,,,,383
Melodic Death Metal,Melodic Death Metal,Death Metal,Metal,Rock,,,,,,,,,,384
Melodic Dubstep,Melodic Dubstep,EDM,Drum and Bass,Dance,Electronic,,,,,,,,,385
