2,Soft Rock,Pop Rock,,,
4,Synthpop,Electropop,Electronic,Pop,
3,Smooth Soul,Sophisti-Pop,R&B,,
4,Jazz-Rock,Soft Rock,Yacht Rock,Pop Rock,
3,Chamber Pop,Indie Pop,Alt-Country,,
5,Electropop,Synthpop,Indietronica,Electronic,Pop
3,Contemporary Country,Singer/Songwriter,Sophisti-Pop,,
