4,Synthpop,Electropop,Electronic,Pop,,,,,
3,Smooth Soul,Sophisti-Pop,R&B,,,,,,
3,Chamber Pop,Indie Pop,Alt-Country,,,,,,
5,Electropop,Synthpop,Indietronica,Electronic,Pop,,,,
4,Electropop,Synthpop,Electronic,Pop,,,,,
4,Psychedelic Folk,Indie Folk,Singer/Songwriter,Contemporary Folk,,,,,
3,Post-Punk Revival,Indie Rock,Alt Rock,,,,,,
4,Art Pop,Electropop,Synthpop,Electronic,,,,,
4,Synthpop,Synthwave,Electronic,Pop,,,,,
4,Future Garage,UK Garage,EDM,Dubstep,,,,,
3,Folk Pop,Contemporary Folk,Singer/Songwriter,,,,,,
5,Drone (Experimental),Chamber Folk,Contemporary Folk,Ambient,Experimental,,,,
3,Dance-Pop,Electropop,Electronic,,,,,,
3,Trip Hop,Downtempo,Electronic,,,,,,
3,Deep Soul,Southern Soul,R&B,,,,,,
4,J-Pop,Power Pop,Pop Rock,Television Soundtrack,,,,,
3,New Wave,Post-Punk,Rock,,,,,,
3,Soft Rock,Pop Rock,Singer/Songwriter,,,,,,
4,Midwest Emo,Indie Rock,Alt Rock,Punk,,,,,
3,Chamber Pop,Indie Pop,Progressive Pop,,,,,,
3,Synthpop,Pop,Electronic,,,,,,
3,Indie Folk,Contemporary Folk,Singer/Songwriter,,,,,,
4,Hard Bop,Jazz,Post-Bop,Bebop,,,,,
3,Contemporary Country,Singer/Songwriter,Country Pop,,,,,,
3,Alt Rock,Indie Pop,Television Soundtrack,,,,,,
4,Wonky,EDM,Abstract Hip Hop,Conscious Hip Hop,,,,,
3,Power Pop,Pop Rock,New Wave,,,,,,
3,West Coast Hip Hop,Gangsta Rap,Hardcore Hip Hop,,,,,,
3,Neo-Soul,Smooth Soul,R&B,,,,,,
3,Trip Hop,Downtempo,Electronic,,,,,,
3,Indie Folk,Contemporary Folk,Singer/Songwriter,,,,,,
4,Alt Rock,Britpop,Power Pop,Pop Rock,,,,,
3,Piano Rock,Pop Rock,Alt Rock,,,,,,
3,Chamber Folk,Contemporary Folk,Singer/Songwriter,,,,,,
3,New Wave,Rock,Film Soundtrack,,,,,,
4,Indie Rock,Alt Rock,Jangle Pop,Pop Rock,,,,,
3,Sophisti-Pop,Synthpop,Electronic,,,,,,
4,Synthpop,Synthwave,Pop,Electronic,,,,,
4,Progressive Pop,Chamber Pop,Indie Pop,Art Rock,,,,,
6,Trip Hop,Downtempo,Instrumental Hip Hop,Plunderphonics,Experimental,Electronic,,,
3,Hip Hop,Alt Rock,Rap Rock,,,,,,
3,Conscious Hip Hop,UK Hip Hop,Political Hip Hop,,,,,,
4,Singer/Songwriter,Indie Folk,Contemporary Folk,Avant-Folk,,,,,
4,Indie Folk,Psychedelic Folk,Contemporary Folk,Singer/Songwriter,,,,,
3,Electropop,Electronic,Pop,,,,,,
3,Electro-Industrial,Post-Industrial,Electronic,,,,,,
4,Smooth Soul,R&B,Downtempo,Electronic,,,,,
4,New Wave,Pop Rock,Synthpop,Electronic,,,,,
5,Electropop,Dance-Pop,Electro House,Electronic,EDM,,,,
3,Dance-Pop,Electropop,Electronic,,,,,,
4,Jangle Pop,Pop Rock,Alt Rock,Indie Pop,,,,,
3,New Wave,Rock,Film Soundtrack,,,,,,
3,Hard Bop,Bebop,Jazz,,,,,,
3,Hip House,EDM,Dutch House,,,,,,
4,Drone Metal,Post-Rock,Post-Metal,Atmospheric Sludge Metal,,,,,
4,Vocal Trance,EDM,Uplifting Trance,Progressive House,,,,,
4,Hi-NRG,Electro-Disco,EDM,Dance,,,,,
4,Disco,Funk,R&B,Dance,,,,,
3,Singer/Songwriter,Folk Pop,Contemporary Folk,,,,,,
3,Synthpop,Art Pop,Electronic,,,,,,
3,Art Pop,Chamber Pop,Indie Pop,,,,,,
3,Electronic,Post-Rock,Modern Classical,,,,,,
3,Art Pop,Synthpop,Electronic,,,,,,
7,Chamber Pop,Indie Pop,Alt-Pop,Art Pop,Trip Hop,Downtempo,Electronic,,
3,Alt Rock,Art Rock,Pop Rock,,,,,,
4,Pop Soul,Contemporary R&B,Christmas Music,Holiday Music,,,,,
3,Neo-Soul,Smooth Soul,Contemporary R&B,,,,,,
3,Vocal Trance,Dance-Pop,EDM,,,,,,
3,Synthpop,Electronic,Pop,,,,,,
