Top-level,Top-level,,,,,,,,,,,1
Ambient,Ambient,,,,,,Top-level,,,,,2
Blues,Blues,,,,,,Top-level,,,,,3
Classical,Classical,,,,,,Top-level,,,,,4
Comedy,Comedy,,,,,,Top-level,,,,,5
Country,Country,,,,,,Top-level,,,,,6
Dance,Dance,,,,,,Top-level,,,,,7
Darkwave,Darkwave,,,,,,Top-level,,,,,8
Descriptor Genres,Descriptor Genres,,,,,,Top-level,,,,,9
EDM,EDM,,,,,,Top-level,,,,,10
Electronic,Electronic,,,,,,Top-level,,,,,11
Experimental,Experimental,,,,,,Top-level,,,,,12
Field Recordings,Field Recordings,,,,,,Top-level,,,,,13
Folk,Folk,,,,,,Top-level,,,,,14
Hip Hop,Hip Hop,,,,,,Top-level,,,,,15
Industrial Music,Industrial Music,,,,,,Top-level,,,,,16
Jazz,Jazz,,,,,,Top-level,,,,,17
Metal,Metal,,,,,,Top-level,,,,,18
Musical Theatre,Musical Theatre,,,,,,Top-level,,,,,19
New Age,New Age,,,,,,Top-level,,,,,20
No Genre,No Genre,,,,,,Top-level,,,,,21
Pop,Pop,,,,,,Top-level,,,,,22
Psych,Psych,,,,,,Top-level,,,,,23
Punk,Punk,,,,,,Top-level,,,,,24
R&B,R&B,,,,,,Top-level,,,,,25
Regional Music,Regional Music,,,,,,Top-level,,,,,26
Rock,Rock,,,,,,Top-level,,,,,27
Singer/Songwriter,Singer/Songwriter,,,,,,Top-level,,,,,28
Ska,Ska,,,,,,Top-level,,,,,29
Dance-Pop,Dance-Pop,,,,,,Pop,,,,,30
Dance-Pop,Dance-Pop,,,,,,Dance,,,,,31
2 Tone,2 Tone,Ska,,,,,,,,,,32
A cappella,A cappella,,,,,,Descriptor Genres,,,,,33
Abstract Hip Hop,Abstract Hip Hop,,,,,,Hip Hop,,,,,34
Acid Jazz,Acid Jazz,,,,,,Jazz,,,,,35
Acoustic Blues,Acoustic Blues,,,,,,Blues,,,,,36
Acoustic Rock,Acoustic Rock,,,,,,Rock,,,,,37
Adult Contemporary,Adult Contemporary,Pop,,,,,,,,,,38
African Music,African Music,,,,,,Regional Music,,,,,39
Alt Metal,Alt Metal,,,,,,Metal,,,,,40
Alt Rock,Alt Rock,,,,,,Rock,,,,,41
Alt-Country,Alt-Country,,,,,,Country,,,,,42
Alt-Pop,Alt-Pop,,,,,,Pop,,,,,43
Ambient Pop,Amb~*ent Pop,,,,,,Pop,,,,,44
Americana,Americana,Country,,,,,,,,,,45
Andean New Age,Andean New Age,,,,,,New Age,,,,,46
AOR,AOR,Rock,,,,,,,,,,47
Arabic Music,Arabic Music,,,,,,Regional Music,,,,,48
Art Pop,Art Pop,,,,,,Pop,,,,,49
Art Punk,Art Punk,,,,,,Punk,,,,,50
Art Rock,Art Rock,,,,,,Rock,,,,,51
Avant-Garde Jazz,Avant-Garde Jazz,,,,,,Jazz,,,,,52
Avant-Garde Metal,Avant-Garde Metal,,,,,,Metal,,,,,53
Balkan Music,Balkan Music,,,,,,Regional Music,,,,,54
Baroque Pop,Baroque Pop,,,,,,Pop,,,,,55
Bebop,Bebop,Jazz,,,,,,,,,,56
Big Band,Big Band,Jazz,,,,,,,,,,57
Bit Music,Bit Music,Electronic,,,,,,,,,,58
Black Metal,Black Metal,,,,,,Metal,,,,,59
Blue-Eyed Soul,Blue-Eyed S0ul,Pop,,,,,,,,,,60
Blues Rock,Bl~*es Rock,,,,,,Rock,,,,,61
Boy Band,Boy Band,Pop,,,,,,,,,,62
Brazilian Music,Brazilian Music,,,,,,Regional Music,,,,,63
Breakbeat,Breakbeat,EDM,,,,,,,,,,64
Brill Building,Brill Building,Pop,,,,,,,,,,65
Bubblegum,B~*bblegum,Pop,,,,,,,,,,66
Bubblegum Bass,Bubblegum Bass,EDM,,,,,,,,,,67
C-Pop,C-Pop,,,,,,Pop,,,,,68
Caribbean Music,Caribbean Music,,,,,,Regional Music,,,,,69
Cartoon Music,Cartoon Music,Jazz,,,,,,,,,,70
Celtic New Age,Celtic New Age,,,,,,New Age,,,,,71
Chamber Jazz,Chamber Jazz,,,,,,Jazz,,,,,72
Chanson,Chanson,,,,,,Regional Music,,,,,73
Children's Music,Children's Music,,,,,,Descriptor Genres,,,,,74
Christian Hip Hop,Christian Hip Hop,,,,,,Hip Hop,,,,,75
Christian Rock,Christian Rock,,,,,,Rock,,,,,76
Cinematic Classical,Cinematic Classical,,,,,,Classical,,,,,77
Cloud Rap,Cloud Rap,Hip Hop,,,,,,,,,,78
Conscious Hip Hop,Conscious Hip Hop,,,,,,Hip Hop,,,,,79
Contemporary Country,Contemporary Country,,,,,,Country,,,,,80
Contemporary Folk,Contemporary Folk,,,,,,Folk,,,,,81
Contemporary R&B,Contemporary R&B,,,,,,R&B,,,,,82
Cool Jazz,Cool Jazz,,,,,,Jazz,,,,,83
Country Rock,C0untry Rock,,,,,,Rock,,,,,84
Crunk,Crunk,Hip Hop,,,,,,,,,,85
Dark Cabaret,Dark C~*baret,Rock,,,,,,,,,,86
Dark Jazz,Dark Jazz,,,,,,Jazz,,,,,87
Death Metal,Death Metal,,,,,,Metal,,,,,88
Dirty South,Dirty South,Hip Hop,,,,,,,,,,89
Disco,Disco,Dance,,,,,,,,,,90
Disco Rap,D~*sco Rap,Hip Hop,,,,,,,,,,91
Dixieland,Dixieland,Jazz,,,,,,,,,,92
Doo-Wop,Doo-Wop,R&B,,,,,,,,,,93
Doom Metal,Doom Metal,,,,,,Metal,,,,,94
Downtempo,Downtempo,Electronic,,,,,,,,,,95
Drone (Experimental),Drone (Experimental),,,,,,Experimental,,,,,96
Drone Metal,Drone Metal,,,,,,Metal,,,,,97
Drum and Bass,Drum and Bass,EDM,,,,,,,,,,98
Dubstep,Dubstep,EDM,,,,,,,,,,99
East Asian Music,East Asian Music,,,,,,Regional Music,,,,,100
