4,Synthpop,Electropop,Electronic,Pop,,,,,
3,Smooth Soul,Sophisti-Pop,R&B,,,,,,
3,Chamber Pop,Indie Pop,Alt-Country,,,,,,
5,Electropop,Synthpop,Indietronica,Electronic,Pop,,,,
4,Electropop,Synthpop,Electronic,Pop,,,,,
4,Psychedelic Folk,Indie Folk,Singer/Songwriter,Contemporary Folk,,,,,
3,Post-Punk Revival,Indie Rock,Alt Rock,,,,,,
4,Art Pop,Electropop,Synthpop,Electronic,,,,,
4,Synthpop,Synthwave,Electronic,Pop,,,,,
4,Future Garage,UK Garage,EDM,Dubstep,,,,,
3,Folk Pop,Contemporary Folk,Singer/Songwriter,,,,,,
5,Drone (Experimental),Chamber Folk,Contemporary Folk,Ambient,Experimental,,,,
3,Dance-Pop,Electropop,Electronic,,,,,,
3,Trip Hop,Downtempo,Electronic,,,,,,
3,Deep Soul,Southern Soul,R&B,,,,,,
4,J-Pop,Power Pop,Pop Rock,Television Soundtrack,,,,,
